Name,BMAG,Vmax,Dist,Dist_lyr,z,Luminosity,Mass
UGC12893,-15.5,72,12.5,0.002910031227694504,0.0029185242243260755,246603933.72343463,1233019668.6171732
UGC   89,-21.5,343,64.2,0.014945920385438974,0.015172690205280018,61944107507.67837,309720537538.39185
UGC   94,-20.4,209,64.2,0.014945920385438974,0.015172690205280018,22490546058.357826,112452730291.78912
UGC  508,-21.8,553,63.8,0.014852799386152747,0.01507673104780477,81658237135.85939,408291185679.29694
UGC  528,-19.6,84,12.1,0.0028169102284082794,0.002824867626920451,10764652136.298393,53823260681.49197
UGC  763,-18.9,104,12.7,0.0029565917273376157,0.0029653590834723955,5649369748.1230345,28246848740.615173
NGC  542,-19.5,125,63.7,0.014829519136331194,0.015052744092911319,9817479430.199863,49087397150.99931
UGC 1117,-18.9,79,0.9,0.0002095222483940043,0.0002095661571664411,5649369748.1230345,28246848740.615173
UGC 1249,-18.3,65,7.2,0.0016761779871520344,0.0016789922770474195,3250872973.854347,16254364869.271736
UGC 1256,-18.9,105,7.2,0.0016761779871520344,0.0016789922770474195,5649369748.1230345,28246848740.615173
UGC 1317,-21.5,205,42.2,0.009824265424696646,0.0099217392243109,61944107507.67837,309720537538.39185
UGC 1437,-21.8,218,66.8,0.015551206880799428,0.01579686723118003,81658237135.85939,408291185679.29694
UGC 1655,-21.6,205,73.0,0.016994582369735903,0.01728839136075651,67920363261.71857,339601816308.59283
UGC 1736,-20.1,193,17.6,0.004097323968593862,0.004114181101431895,17060823890.031279,85304119450.15639
UGC 1886,-20.8,267,66.5,0.01548136613133476,0.01572480763568765,32508729738.543472,162543648692.71735
UGC 1913,-20.1,105,9.3,0.002165063233404711,0.002169760902960991,17060823890.031279,85304119450.15639
UGC 2023,-15.9,53,7.8,0.0018158594860813704,0.001819162830163249,356451133.42624533,1782255667.1312265
UGC 2034,-16.7,39,10.1,0.002351305231977159,0.0023568468984203838,744731973.9059888,3723659869.529944
UGC 2045,-20.5,185,22.7,0.005284616709493218,0.005312692251739154,24660393372.343464,123301966861.71732
UGC 2082,-18.3,100,10.2,0.002374585481798715,0.00238023755935038,3250872973.854347,16254364869.271736
UGC 2080,-19.2,131,13.7,0.003189394225553176,0.0031995990081538674,7447319739.059889,37236598695.299446
UGC 2141,-18.1,157,12.2,0.0028401904782298353,0.0028482801363524345,2703958364.108846,13519791820.544231
UGC 2183,-19.0,160,18.6,0.004330126466809422,0.004348958004969784,6194410750.767837,30972053753.839184
UGC 2193,-18.7,174,9.8,0.0022814644825124913,0.0022866814650578404,4698941086.05216,23494705430.260803
UGC 2455,-18.6,21,7.8,0.0018158594860813704,0.001819162830163249,4285485203.9744096,21427426019.872047
UGC 2503,-21.6,285,34.4,0.008008405938615274,0.008073058266378526,67920363261.71857,339601816308.59283
UGC 2855,-21.4,229,17.5,0.004074043718772306,0.004090709447903861,56493697481.23034,282468487406.1517
UGC 3013,-21.3,212,36.3,0.008450730685224839,0.008522754185543237,51522864458.17583,257614322290.87915
UGC 3273,-18.3,106,12.2,0.0028401904782298353,0.0028482801363524345,3250872973.854347,16254364869.271736
UGC 3334,-22.8,377,55.6,0.012943818900785154,0.013113558426198735,205116217882.5571,1025581089412.7855
UGC 3382,-20.4,335,62.8,0.014619996887937185,0.014836912502551078,22490546058.357826,112452730291.78912
UGC 3429,-21.3,322,17.9,0.004167164718058529,0.004184602646566395,51522864458.17583,257614322290.87915
UGC 3463,-20.7,168,38.6,0.008986176431120629,0.00906766002391293,29648313895.243515,148241569476.2176
UGC 3574,-18.0,202,21.8,0.005075094461099215,0.005100982428769628,2466039337.2343464,12330196686.171732
UGC 3521,-19.8,166,62.6,0.014573436388294076,0.014788962390947423,12941958414.499916,64709792072.49958
UGC 3528,-20.1,276,61.8,0.014387194389721625,0.014597207247944862,17060823890.031279,85304119450.15639
UGC 3691,-20.2,143,28.9,0.006727992198429692,0.006773564688811576,18706821403.658016,93534107018.29008
UGC 3685,-19.7,133,26.3,0.0061227057030692365,0.006160424167251393,11803206356.517323,59016031782.58661
UGC 3708,-20.7,234,70.0,0.016296174875089223,0.016566139582734604,29648313895.243515,148241569476.2176
UGC 3709,-21.5,241,70.7,0.016459136623840114,0.016734573251325338,61944107507.67837,309720537538.39185
UGC 3734,-18.6,108,15.9,0.0037015597216274094,0.003715312171514761,4285485203.9744096,21427426019.872047
UGC 3826,-17.9,74,25.7,0.005983024204139899,0.00601903624367138,2249054605.8357825,11245273029.178913
UGC 3809,-22.0,258,32.9,0.007659202191291933,0.007718318352127638,98174794301.99864,490873971509.9932
UGC 3740,-19.8,87,17.1,0.003980922719486081,0.003996833805990359,12941958414.499916,64709792072.49958
UGC 3851,-17.1,65,3.4,0.000791528493932905,0.0007921555075887874,1076465213.6298394,5382326068.149197
UGC 3876,-17.4,112,14.5,0.0033756362241256247,0.0033870697394316903,1419057521.6890898,7095287608.445449
UGC 3915,-21.4,205,63.6,0.014806238886509638,0.015028758271647255,56493697481.23034,282468487406.1517
IC   476,-19.0,70,63.9,0.014876079635974303,0.01510071913640799,6194410750.767837,30972053753.839184
UGC 4026,-20.8,284,64.7,0.015062321634546754,0.015292664668431946,32508729738.543472,162543648692.71735
UGC 4165,-18.2,80,11.0,0.0025608274803711633,0.0025674021543612155,2964831389.524339,14824156947.621696
UGC 4256,-21.6,123,71.7,0.016691939122055677,0.01697528962302243,67920363261.71857,339601816308.59283
UGC 4273,-20.7,219,35.4,0.008241208436830834,0.008309690326860004,29648313895.243515,148241569476.2176
UGC 4274,-17.7,102,6.9,0.0016063372376873663,0.0016089217085403181,1870682140.3658016,9353410701.829008
UGC 4278,-19.2,80,9.6,0.0022349039828693787,0.002239909966574946,7447319739.059889,37236598695.299446
UGC 4284,-18.4,118,9.8,0.0022814644825124913,0.0022866814650578404,3564511334.262439,17822556671.312195
UGC 4305,-16.9,48,3.4,0.000791528493932905,0.0007921555075887874,895364765.5495937,4476823827.747969
UGC 4325,-18.2,85,10.9,0.0025375472305496074,0.0025440027577019243,2964831389.524339,14824156947.621696
UGC 4393,-19.3,47,31.5,0.00733327869379015,0.007387452945073636,8165823713.585939,40829118567.929695
UGC 4422,-21.1,353,58.1,0.013525825146324055,0.013711281543006786,42854852039.744095,214274260198.72046
UGC 4456,-20.8,211,74.0,0.017227384867951463,0.01752937007268638,32508729738.543472,162543648692.71735
UGC 4499,-17.0,62,12.2,0.0028401904782298353,0.0028482801363524345,981747943.0199864,4908739715.099932
UGC 4543,-17.6,70,30.3,0.007053915695931478,0.007104026902805497,1706082389.0031278,8530411945.015639
UGC 4555,-20.9,185,58.0,0.013502544896502499,0.013687359076953617,35645113342.62439,178225566713.12195
UGC 4770,-21.3,330,95.9,0.02232575957887224,0.022835581276290498,51522864458.17583,257614322290.87915
UGC 4820,-20.3,336,17.1,0.003980922719486081,0.003996833805990359,20511621788.25571,102558108941.27855
UGC 4936,-20.6,264,25.6,0.005959743954318345,0.0059954754529020415,27039583641.088573,135197918205.44287
UGC 5045,-21.2,429,105.1,0.024467542562455386,0.02508121833970024,46989410860.52161,234947054302.60803
UGC 5175,-20.6,188,44.1,0.010266590171306211,0.01037308639816775,27039583641.088573,135197918205.44287
UGC 5228,-19.9,125,24.7,0.00575022170592434,0.005783477986578499,14190575216.890955,70952876084.45477
UGC 5251,-20.5,125,21.5,0.005005253711634547,0.005030432301583172,24660393372.343464,123301966861.71732
UGC 5253,-20.7,235,21.1,0.004912132712348323,0.004936380870301944,29648313895.243515,148241569476.2176
UGC 5272,-16.1,45,7.1,0.001652897737330478,0.0016556343315709784,428548520.39744097,2142742601.9872048
UGC 5279,-19.0,110,21.3,0.004958693211991435,0.004983404385490374,6194410750.767837,30972053753.839184
UGC 5316,-19.9,145,17.6,0.004097323968593862,0.004114181101431895,14190575216.890955,70952876084.45477
UGC 5319,-19.7,180,35.8,0.008334329436117059,0.008404374259903516,11803206356.517323,59016031782.58661
UGC 5351,-19.4,135,19.3,0.0044930882155603145,0.00451336717241519,8953647655.495937,44768238277.47969
UGC 5373,-14.3,90,1.4,0.0003259234975017844,0.00032602975826088646,81658237.13585939,408291185.6792969
UGC 5414,-16.6,74,10.0,0.002328024982155603,0.002333457329112571,679203632.6171857,3396018163.0859284
IC  2542,-20.5,290,83.4,0.019415728351177733,0.0198001629360532,24660393372.343464,123301966861.71732
UGC 5510,-19.3,167,18.6,0.004330126466809422,0.004348958004969784,8165823713.585939,40829118567.929695
UGC 5532,-22.1,398,41.1,0.00956818267665953,0.009660617227057298,107646521362.98393,538232606814.9197
UGC 5721,-16.5,99,6.5,0.001513216238401142,0.0015155095320344685,619441075.0767812,3097205375.383906
UGC 5786,-19.6,80,14.2,0.003305795474660956,0.0033167600048756105,10764652136.298393,53823260681.49197
UGC 5789,-19.6,131,14.1,0.0032825152248394003,0.003293325616315309,10764652136.298393,53823260681.49197
UGC 5829,-16.2,48,9.0,0.002095222483940043,0.0020996216584465875,469894108.6052161,2349470543.0260806
UGC 5840,-18.9,251,6.9,0.0016063372376873663,0.0016089217085403181,5649369748.1230345,28246848740.615173
UGC 5842,-18.8,115,15.2,0.0035385979728765164,0.003551164115015261,5152286445.817583,25761432229.087914
UGC 5931,-19.8,157,21.2,0.004935412962169879,0.0049598920778217235,12941958414.499916,64709792072.49958
UGC 5982,-20.0,199,20.8,0.004842291962883655,0.004865853847863732,15559656316.05075,77798281580.25375
UGC 6118,-20.0,137,19.8,0.004609489464668094,0.0046308352509700544,15559656316.05075,77798281580.25375
UGC 6277,-19.5,270,16.9,0.003934362219842969,0.003949902567275719,9817479430.199863,49087397150.99931
UGC 6419,-18.6,53,18.8,0.004376686966452535,0.004395926560937271,4285485203.9744096,21427426019.872047
UGC 6521,-21.2,249,78.6,0.01829827635974304,0.018639344231658306,46989410860.52161,234947054302.60803
UGC 6523,-21.0,118,80.0,0.018624199857244825,0.018977643278482788,39084089579.24025,195420447896.20123
UGC 6537,-20.5,187,14.3,0.003329075724482513,0.0033401954881972966,24660393372.343464,123301966861.71732
UGC 6628,-17.9,183,15.3,0.003561878222698073,0.0035746105501713553,2249054605.8357825,11245273029.178913
UGC 6702,-20.6,195,99.8,0.02323368932191292,0.023786333607046413,27039583641.088573,135197918205.44287
UGC 6778,-20.7,223,15.5,0.003608438722341185,0.0036215067073773035,29648313895.243515,148241569476.2176
UGC 6787,-20.5,232,18.9,0.004399967216274089,0.00441941248632913,24660393372.343464,123301966861.71732
UGC 7021,-19.7,223,26.8,0.006239106952177017,0.006278277798839455,11803206356.517323,59016031782.58661
UGC 7045,-19.2,160,11.4,0.0026539484796573878,0.00266101066486576,7447319739.059889,37236598695.299446
UGC 7154,-20.0,145,16.2,0.0037714004710920766,0.003785677778047608,15559656316.05075,77798281580.25375
UGC 7323,-18.3,84,8.1,0.0018857002355460383,0.001889262818888625,3250872973.854347,16254364869.271736
UGC 7524,-18.4,45,4.6,0.0010708914917915773,0.0010720395298029076,3564511334.262439,17822556671.312195
UGC 7699,-17.6,92,9.3,0.002165063233404711,0.002169760902960991,1706082389.0031278,8530411945.015639
UGC 7766,-21.0,120,13.0,0.003026432476802284,0.0030356195744696756,39084089579.24025,195420447896.20123
UGC 7831,-18.5,92,5.2,0.0012105729907209138,0.0012120402539159709,3908408957.924025,19542044789.620125
UGC 7853,-18.9,110,8.9,0.002071942234118487,0.002076244091940918,5649369748.1230345,28246848740.615173
UGC 7861,-17.3,50,10.2,0.002374585481798715,0.00238023755935038,1294195841.4499862,6470979207.249931
UGC 7876,-17.9,98,14.5,0.0033756362241256247,0.0033870697394316903,2249054605.8357825,11245273029.178913
UGC 7901,-20.6,215,20.7,0.004819011713062098,0.004842347040167376,27039583641.088573,135197918205.44287
UGC 7971,-16.3,33,8.4,0.0019555409850107066,0.0019593726184710344,515228644.58175826,2576143222.9087915
UGC 7985,-18.7,112,13.7,0.003189394225553176,0.0031995990081538674,4698941086.05216,23494705430.260803
UGC 8334,-21.1,214,9.8,0.0022814644825124913,0.0022866814650578404,42854852039.744095,214274260198.72046
UGC 8403,-19.2,128,19.1,0.004446527715917203,0.004466387632314319,7447319739.059889,37236598695.299446
UGC 8490,-17.1,90,4.7,0.0010941717416131337,0.001095370264803485,1076465213.6298394,5382326068.149197
NGC 5296,-18.2,80,32.8,0.007635921941470378,0.00769467790128938,2964831389.524339,14824156947.621696
UGC 8709,-21.4,207,35.0,0.008148087437544612,0.008215024172806179,56493697481.23034,282468487406.1517
UGC 8852,-20.0,186,30.6,0.007123756445396146,0.007174868460838917,15559656316.05075,77798281580.25375
UGC 8863,-20.3,191,25.5,0.005936463704496788,0.005971915765686095,20511621788.25571,102558108941.27855
UGC 8898,-20.5,65,49.0,0.011407322412562456,0.011538950946309754,24660393372.343464,123301966861.71732
UGC 8900,-21.7,345,49.2,0.011453882912205568,0.011586594407904927,74473197390.59889,372365986952.99445
UGC 8937,-21.1,320,49.0,0.011407322412562456,0.011538950946309754,42854852039.744095,214274260198.72046
UGC 9013,-18.2,62,7.2,0.0016761779871520344,0.0016789922770474195,2964831389.524339,14824156947.621696
UGC 9179,-17.8,111,5.7,0.0013269742398286939,0.0013287374401833132,2051162178.8255708,10255810894.127853
UGC 9219,-16.6,45,10.2,0.002374585481798715,0.00238023755935038,679203632.6171857,3396018163.0859284
UGC 9248,-20.2,166,54.9,0.01278085715203426,0.012946322247321479,18706821403.658016,93534107018.29008
UGC 9358,-20.8,221,29.1,0.006774552698072806,0.00682076029815357,32508729738.543472,162543648692.71735
UGC 9366,-21.7,241,37.7,0.008776654182726624,0.008854365890151816,74473197390.59889,372365986952.99445
UGC 9363,-19.8,143,22.3,0.005191495710206996,0.005218587987356696,12941958414.499916,64709792072.49958
UGC 9406,-19.0,19,33.8,0.007868724439685938,0.007931132334520965,6194410750.767837,30972053753.839184
UGC 9465,-18.0,97,26.4,0.006145985952890791,0.006183992685065987,2466039337.2343464,12330196686.171732
UGC 9576,-19.6,104,27.4,0.006378788451106352,0.006419738605582765,10764652136.298393,53823260681.49197
UGC 9649,-16.5,94,7.7,0.0017925792362598145,0.0017957983470893166,619441075.0767812,3097205375.383906
UGC 9736,-20.6,192,45.4,0.010569233418986437,0.010682135401457661,27039583641.088573,135197918205.44287
UGC 9753,-19.1,138,12.4,0.002886750977872948,0.0028951084349786707,6792036326.171857,33960181630.859283
UGC 9858,-20.4,160,38.2,0.008893055431834405,0.008972851497584039,22490546058.357826,112452730291.78912
UGC 9866,-17.2,114,7.4,0.0017227384867951466,0.0017257114363035694,1180320635.6517322,5901603178.258661
UGC 9943,-20.7,185,28.0,0.006518469950035689,0.006561239190534182,29648313895.243515,148241569476.2176
UGC 9969,-21.4,311,36.0,0.008380889935760171,0.008451722895111646,56493697481.23034,282468487406.1517
UGC10075,-19.9,168,14.7,0.003422196723768736,0.003433948370632305,14190575216.890955,70952876084.45477
UGC10310,-17.1,66,12.7,0.0029565917273376157,0.0029653590834723955,1076465213.6298394,5382326068.149197
UGC10359,-19.0,143,16.0,0.003724839971448965,0.00373876627752339,6194410750.767837,30972053753.839184
UGC10470,-20.2,164,21.2,0.004935412962169879,0.0049598920778217235,18706821403.658016,93534107018.29008
UGC10445,-17.6,77,16.9,0.003934362219842969,0.003949902567275719,1706082389.0031278,8530411945.015639
UGC10502,-21.2,163,61.2,0.014247512890792293,0.014453438441301002,46989410860.52161,234947054302.60803
UGC10521,-20.2,124,18.0,0.004190444967880086,0.0042080786900512545,18706821403.658016,93534107018.29008
UGC10546,-19.1,106,20.4,0.00474917096359743,0.004771833215346885,6792036326.171857,33960181630.859283
UGC10564,-17.6,75,18.4,0.004283565967166309,0.004301993841577047,1706082389.0031278,8530411945.015639
UGC10652,-17.7,141,18.2,0.0042370054675231975,0.00425503407014289,1870682140.3658016,9353410701.829008
UGC10713,-19.0,105,18.3,0.004260285717344754,0.004278513406903653,6194410750.767837,30972053753.839184
UGC10757,-17.7,81,19.5,0.004539648715203426,0.004560351107248323,1870682140.3658016,9353410701.829008
UGC10791,-16.7,95,21.7,0.0050518142112776585,0.0050774646191981835,744731973.9059888,3723659869.529944
UGC10897,-19.5,113,20.5,0.004772451213418986,0.004795336723986126,9817479430.199863,49087397150.99931
UGC11012,-18.7,117,5.3,0.0012338532405424697,0.00123537751509276,4698941086.05216,23494705430.260803
UGC11124,-18.6,96,23.7,0.005517419207708779,0.0055480300150789206,4285485203.9744096,21427426019.872047
UGC11218,-20.8,185,22.8,0.0053078969593147755,0.005336221070911297,32508729738.543472,162543648692.71735
UGC11269,-19.9,202,35.0,0.008148087437544612,0.008215024172806179,14190575216.890955,70952876084.45477
UGC11283,-19.3,173,31.3,0.007286718194147038,0.0073402041935932485,8165823713.585939,40829118567.929695
UGC11300,-17.8,112,8.4,0.0019555409850107066,0.0019593726184710344,2051162178.8255708,10255810894.127853
UGC11332,-19.5,91,23.0,0.005354457458957887,0.0053832820134886855,9817479430.199863,49087397150.99931
UGC11407,-20.8,158,35.8,0.008334329436117059,0.008404374259903516,32508729738.543472,162543648692.71735
UGC11429,-21.8,232,65.2,0.015178722883654534,0.015412667492419886,81658237135.85939,408291185679.29694
UGC11466,-18.5,133,14.2,0.003305795474660956,0.0033167600048756105,3908408957.924025,19542044789.620125
UGC11470,-21.3,380,50.8,0.011826366909350463,0.011967903729997193,51522864458.17583,257614322290.87915
UGC11498,-20.5,274,44.9,0.010452832169878657,0.01056324802869137,24660393372.343464,123301966861.71732
UGC11557,-18.4,105,19.7,0.004586209214846538,0.004607339437430407,3564511334.262439,17822556671.312195
UGC11597,-20.6,154,5.9,0.001373534739471806,0.001375423932023942,27039583641.088573,135197918205.44287
UGC11670,-19.4,190,12.8,0.0029798719771591724,0.0029887781534245076,8953647655.495937,44768238277.47969
UGC11707,-16.6,97,15.9,0.0037015597216274094,0.003715312171514761,679203632.6171857,3396018163.0859284
UGC11852,-20.2,221,80.1,0.01864748010706638,0.019001816094690253,18706821403.658016,93534107018.29008
UGC11861,-20.2,181,25.1,0.005843342705210565,0.005877688050805744,18706821403.658016,93534107018.29008
UGC11872,-20.0,183,18.1,0.004213725217701642,0.004231555831217757,15559656316.05075,77798281580.25375
UGC11891,-16.4,83,9.0,0.002095222483940043,0.0020996216584465875,564936974.8123034,2824684874.0615172
UGC11909,-19.3,110,17.7,0.004120604218415417,0.004137653852333686,8165823713.585939,40829118567.929695
UGC11914,-20.3,285,15.0,0.0034920374732334046,0.003504274531212898,20511621788.25571,102558108941.27855
UGC11951,-19.3,106,17.4,0.0040507634689507495,0.004067238891672632,8165823713.585939,40829118567.929695
UGC12060,-16.5,107,15.7,0.0036549992219842963,0.00366840724762027,619441075.0767812,3097205375.383906
UGC12082,-16.4,105,10.1,0.002351305231977159,0.0023568468984203838,564936974.8123034,2824684874.0615172
UGC12101,-18.5,94,15.1,0.0035153177230549605,0.0035277187753880355,3908408957.924025,19542044789.620125
UGC12276,-20.7,94,77.8,0.01811203436117059,0.018446131325569978,29648313895.243515,148241569476.2176
UGC12343,-21.1,221,26.9,0.006262387201998572,0.006301851838299631,42854852039.744095,214274260198.72046
UGC12632,-17.4,69,8.0,0.0018624199857244824,0.0018658950659866406,1419057521.6890898,7095287608.445449
UGC12754,-18.6,123,8.9,0.002071942234118487,0.002076244091940918,4285485203.9744096,21427426019.872047
